TimeUNIX/UTC,TimestampUTC,Hsigm,Tps,Dpdeg,
1630587769,2021-09-02T13:02:49.000Z,0.59,14.62,245.863,
1630589569,2021-09-02T13:32:49.000Z,0.56,14.62,242.87,
1630591369,2021-09-02T14:02:49.000Z,0.54,14.62,248.716,
1630593169,2021-09-02T14:32:49.000Z,0.65,3.3,251.475,
1630594969,2021-09-02T15:02:49.000Z,0.8,3.78,236.712,
1630596769,2021-09-02T15:32:49.000Z,0.85,3.92,233.987,
1630598569,2021-09-02T16:02:49.000Z,0.84,4.44,229.473,
1630600369,2021-09-02T16:32:49.000Z,0.87,4.64,229.492,
1630602169,2021-09-02T17:02:49.000Z,0.79,4.86,234.534,
1630603969,2021-09-02T17:32:49.000Z,0.79,4.64,232.087,
1630605769,2021-09-02T18:02:49.000Z,0.72,4.86,242.204,
1630607569,2021-09-02T18:32:49.000Z,0.63,4.64,238.859,
1630609369,2021-09-02T19:02:49.000Z,0.6,4.44,239.392,
1630611169,2021-09-02T19:32:49.000Z,0.57,4.64,249.628,
1630612969,2021-09-02T20:02:49.000Z,0.57,4.26,240.225,
1630614769,2021-09-02T20:32:49.000Z,0.53,11.36,238.568,
1630616569,2021-09-02T21:02:49.000Z,0.52,5.38,251.15,
1630618369,2021-09-02T21:32:49.000Z,0.49,14.62,241.068,
1630620169,2021-09-02T22:02:49.000Z,0.48,5.38,250.431,
1630621969,2021-09-02T22:32:49.000Z,0.43,5.38,250.771,
1630623769,2021-09-02T23:02:49.000Z,0.08,1.46,299.01,
1630625569,2021-09-02T23:32:49.000Z,0.16,6.4,247.523,
1630627369,2021-09-03T00:02:49.000Z,0.57,14.62,245.978,
1630629169,2021-09-03T00:32:49.000Z,0.34,2.56,259.548,
1630630969,2021-09-03T01:02:49.000Z,0.51,6.82,244.2,
1630632769,2021-09-03T01:32:49.000Z,0.47,6.4,249.492,
1630634569,2021-09-03T02:02:49.000Z,0.25,2.84,256.325,
1630636369,2021-09-03T02:32:49.000Z,0.21,2.56,264.47,
1630638169,2021-09-03T03:02:49.000Z,0.57,6.4,247.366,
1630639969,2021-09-03T03:32:49.000Z,0.3,12.8,238.774,
1630641769,2021-09-03T04:02:49.000Z,0.55,14.62,245.436,
1630643569,2021-09-03T04:32:49.000Z,0.5,12.8,240.452,
1630645369,2021-09-03T05:02:49.000Z,0.56,14.62,245.003,
1630647169,2021-09-03T05:32:49.000Z,0.37,2.92,267.928,
1630648969,2021-09-03T06:02:49.000Z,0.59,3,263.208,
1630650769,2021-09-03T06:32:49.000Z,0.67,3.3,272.828,
1630652569,2021-09-03T07:02:49.000Z,0.6,3.78,270.538,
1630654369,2021-09-03T07:32:49.000Z,0.64,3.92,275.985,
1630656169,2021-09-03T08:02:49.000Z,0.68,3.92,278.056,
1630657969,2021-09-03T08:32:49.000Z,0.83,4.26,259.862,
1630659769,2021-09-03T09:02:49.000Z,0.82,4.44,250.732,
1630661569,2021-09-03T09:32:49.000Z,1.02,5.38,238.81,
1630663369,2021-09-03T10:02:49.000Z,1.04,5.12,238.058,
1630665169,2021-09-03T10:32:49.000Z,1.03,5.38,237.797,
1630666969,2021-09-03T11:02:49.000Z,1,5.38,237.995,
1630668769,2021-09-03T11:32:49.000Z,0.95,5.38,240.587,
1630670569,2021-09-03T12:02:49.000Z,0.95,5.68,238.365,
1630672369,2021-09-03T12:32:49.000Z,0.9,5.68,240.27,
1630674169,2021-09-03T13:02:49.000Z,0.88,5.68,242.98,
1630675969,2021-09-03T13:32:49.000Z,0.85,5.38,243.328,
1630677769,2021-09-03T14:02:49.000Z,0.79,4.64,243.601,
1630679569,2021-09-03T14:32:49.000Z,0.79,5.12,247.055,
1630681369,2021-09-03T15:02:49.000Z,0.77,5.12,248.512,
1630683169,2021-09-03T15:32:49.000Z,0.74,4.44,246.581,
1630684969,2021-09-03T16:02:49.000Z,0.8,5.68,248.722,
1630686769,2021-09-03T16:32:49.000Z,0.75,5.12,251.642,
1630688569,2021-09-03T17:02:49.000Z,0.77,4.86,249.104,
1630690369,2021-09-03T17:32:49.000Z,0.73,5.12,250.65,
1630692169,2021-09-03T18:02:49.000Z,0.74,4.86,247.885,
1630693969,2021-09-03T18:32:49.000Z,0.67,4.86,248.099,
1630695769,2021-09-03T19:02:49.000Z,0.65,10.24,239.595,
1630697569,2021-09-03T19:32:49.000Z,0.62,4.26,247.38,
1630699369,2021-09-03T20:02:49.000Z,0.67,12.8,240.475,
1630701169,2021-09-03T20:32:49.000Z,0.6,14.62,240.319,
1630702969,2021-09-03T21:02:49.000Z,0.54,14.62,241.416,
1630704769,2021-09-03T21:32:49.000Z,0.53,12.8,239.358,
1630706569,2021-09-03T22:02:49.000Z,0.46,3.52,243.35,
1630708369,2021-09-03T22:32:49.000Z,0.49,7.3,242.372,
1630710169,2021-09-03T23:02:49.000Z,0.45,3.64,246.479,
1630711969,2021-09-03T23:32:49.000Z,0.55,3.92,244.292,
1630713769,2021-09-04T00:02:49.000Z,0.15,4.26,240.726,
1630715569,2021-09-04T00:32:49.000Z,0.81,4.26,245.577,
1630717369,2021-09-04T01:02:49.000Z,0.9,4.44,240.715,
1630719169,2021-09-04T01:32:49.000Z,0.71,4.64,241.964,
1630720969,2021-09-04T02:02:49.000Z,0.8,4.64,238.963,
1630722769,2021-09-04T02:32:49.000Z,0.9,5.12,246.731,
1630724569,2021-09-04T03:02:49.000Z,0.87,5.12,249.057,
1630726369,2021-09-04T03:32:49.000Z,0.86,4.44,240.44,
1630728169,2021-09-04T04:02:49.000Z,0.88,4.64,251.999,
1630729969,2021-09-04T04:32:49.000Z,0.86,4.64,254.539,
1630731769,2021-09-04T05:02:49.000Z,0.77,4.44,249.526,
1630733569,2021-09-04T05:32:49.000Z,0.57,4.44,254.594,
1630735369,2021-09-04T06:02:49.000Z,0.75,3.64,222.494,
1630737169,2021-09-04T06:32:49.000Z,0.78,3.64,227.726,
1630738969,2021-09-04T07:02:49.000Z,0.66,3.52,221.16,
1630740769,2021-09-04T07:32:49.000Z,0.93,4.26,229.645,
1630742569,2021-09-04T08:02:49.000Z,0.94,4.44,228.199,
1630744369,2021-09-04T08:32:49.000Z,0.93,4.64,221.221,
1630746169,2021-09-04T09:02:49.000Z,0.83,4.44,226.395,
1630747969,2021-09-04T09:32:49.000Z,0.73,3.92,210.864,
1630749769,2021-09-04T10:02:49.000Z,0.57,4.86,230.837,
1630751569,2021-09-04T10:32:49.000Z,0.75,4.44,225.522,
1630753369,2021-09-04T11:02:49.000Z,0.78,4.64,226.957,
1630755169,2021-09-04T11:32:49.000Z,0.77,4.86,230.344,
1630756969,2021-09-04T12:02:49.000Z,0.67,4.26,223.447,
1630758769,2021-09-04T12:32:49.000Z,0.7,4.64,232.216,
1630760569,2021-09-04T13:02:49.000Z,0.68,4.64,226.936,
1630762369,2021-09-04T13:32:49.000Z,0.66,14.62,241.864,
1630764169,2021-09-04T14:02:49.000Z,0.65,14.62,242.04,
1630765969,2021-09-04T14:32:49.000Z,0.64,14.62,242.99,
1630767769,2021-09-04T15:02:49.000Z,0.61,4.26,231.743,
1630769569,2021-09-04T15:32:49.000Z,0.63,4.44,242.889,
1630771369,2021-09-04T16:02:49.000Z,0.66,4.44,247.103,
1630773169,2021-09-04T16:32:49.000Z,0.69,4.08,243.379,
1630774969,2021-09-04T17:02:49.000Z,0.7,14.62,239.753,
1630776769,2021-09-04T17:32:49.000Z,0.68,3.92,236.631,
1630778569,2021-09-04T18:02:49.000Z,0.74,4.08,243.407,
1630780369,2021-09-04T18:32:49.000Z,0.76,4.08,242.584,
1630782169,2021-09-04T19:02:49.000Z,0.72,3.92,234.85,
1630783969,2021-09-04T19:32:49.000Z,0.73,3.78,238.264,
1630785769,2021-09-04T20:02:49.000Z,0.69,3.78,239.464,
1630787569,2021-09-04T20:32:49.000Z,0.77,4.08,243.493,
1630789369,2021-09-04T21:02:49.000Z,0.79,4.26,242.709,
1630791169,2021-09-04T21:32:49.000Z,0.86,3.92,236.554,
1630792969,2021-09-04T22:02:49.000Z,0.79,3.92,236.205,
1630794769,2021-09-04T22:32:49.000Z,0.83,4.26,236.188,
1630796569,2021-09-04T23:02:49.000Z,0.79,4.44,234.562,
1630798369,2021-09-04T23:32:49.000Z,0.74,4.44,247.804,
1630800169,2021-09-05T00:02:49.000Z,0.77,4.64,237.553,
1630801969,2021-09-05T00:32:49.000Z,0.79,4.44,234.942,
1630803769,2021-09-05T01:02:49.000Z,0.76,4.44,235.803,
1630805569,2021-09-05T01:32:49.000Z,0.77,4.44,240.255,
1630807369,2021-09-05T02:02:49.000Z,0.78,4.44,236.866,
1630809169,2021-09-05T02:32:49.000Z,0.73,4.64,241.983,
1630810969,2021-09-05T03:02:49.000Z,0.64,3.78,239.41,
1630812769,2021-09-05T03:32:49.000Z,0.77,4.44,249.228,
1630814569,2021-09-05T04:02:49.000Z,0.78,4.44,248.809,
1630816369,2021-09-05T04:32:49.000Z,0.74,4.26,249.414,
1630818169,2021-09-05T05:02:49.000Z,0.64,4.26,246.484,
1630819969,2021-09-05T05:32:49.000Z,0.69,3.92,249.607,
1630821769,2021-09-05T06:02:49.000Z,0.73,4.44,250.739,
1630823569,2021-09-05T06:32:49.000Z,0.69,4.26,254.713,
1630825369,2021-09-05T07:02:49.000Z,0.63,4.08,247.562,
1630827169,2021-09-05T07:32:49.000Z,0.37,2.92,246.811,
1630828969,2021-09-05T08:02:49.000Z,0.61,4.26,246.641,
1630830769,2021-09-05T08:32:49.000Z,0.68,4.44,251.508,
1630832569,2021-09-05T09:02:49.000Z,0.7,4.44,254.003,
1630834369,2021-09-05T09:32:49.000Z,0.67,4.64,244.642,
1630836169,2021-09-05T10:02:49.000Z,0.65,4.08,241.509,
1630837969,2021-09-05T10:32:49.000Z,0.65,5.38,247.525,
1630839769,2021-09-05T11:02:49.000Z,0.63,3.78,224.751,
1630841569,2021-09-05T11:32:49.000Z,0.62,3.64,218.142,
1630843369,2021-09-05T12:02:49.000Z,0.51,3.52,220.424,
1630845169,2021-09-05T12:32:49.000Z,0.54,4.26,227.962,
1630846969,2021-09-05T13:02:49.000Z,0.56,3.92,230.511,
